Order_ID,Order_number,User_id,Order_Created_Date,Order_Status,Order_date,Order_Approved_Date,Purchase_Order_Status,Purchase_Order_Created_Date,Purchase_Order_ID,Shipment_Date,AWB,Tracking_Status
6938144,#1259,9647,2024-08-06,booked,2024-08-06,2024-08-06,booked,09-08-2024,116,2024-08-21,SHBC7000685737,rto delivered
6939939,#1065,8557,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,117,2024-08-17,80577461974,delivered
6940002,#1066,8557,2024-08-06,booked,2024-08-06,2024-08-06,booked,09-08-2024,117,2024-08-17,80577461985,delivered
6943859,#FF8795,8372,2024-08-07,booked,2024-08-07,2024-08-07,booked,09-08-2024,118,2024-08-21,81763510846,delivered
6943932,#1262,9647,2024-08-07,booked,2024-08-07,2024-08-07,booked,09-08-2024,116,2024-08-21,SHBC7000685454,delivered
6945270,#FF8798,8372,2024-08-07,booked,2024-08-07,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510835,delivered
6945580,#1263,9647,2024-08-07,booked,2024-08-07,2024-08-07,booked,09-08-2024,116,2024-08-31,22679025999314,exception
6946315,#1068,8557,2024-08-07,booked,2024-08-07,2024-08-07,booked,09-08-2024,117,2024-08-17,80577462044,rto delivered
6948401,#FF8806,8372,2024-08-07,booked,2024-08-07,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510824,delivered
6950146,#FF8808,8372,2024-08-07,booked,2024-08-07,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510791,delivered
6950146,#FF8808,8372,2024-08-07,booked,2024-08-07,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510776,delivered
6951893,#FF8809,8372,2024-08-07,booked,2024-08-07,2024-08-08,booked,09-08-2024,118,2024-08-21,80580563722,delivered
6952781,#FF8811,8372,2024-08-07,booked,2024-08-07,2024-08-08,booked,09-08-2024,118,2024-08-21,80580563711,delivered
6955856,#FF8816,8372,2024-08-08,booked,2024-08-08,2024-08-08,booked,09-08-2024,118,2024-08-21,80580563700,delivered
6956025,#1266,9647,2024-08-08,booked,2024-08-08,2024-08-09,booked,09-08-2024,116,2024-08-21,SHBC7000688651,rto delivered
6958379,#1267,9647,2024-08-08,booked,2024-08-08,2024-08-09,booked,09-08-2024,116,2024-08-31,80589036754,rto in transit
6958433,#FF8823,8372,2024-08-08,booked,2024-08-08,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510710,delivered
6958853,#FF8824,8372,2024-08-08,booked,2024-08-08,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510673,delivered
6958935,#1268,9647,2024-08-08,booked,2024-08-08,2024-08-08,booked,09-08-2024,116,2024-08-21,SHBC7000689180,delivered
6959511,#FF8826,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545462,exception
6959552,#FF8827,8372,2024-08-08,booked,2024-08-08,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510684,delivered
6959552,#FF8827,8372,2024-08-08,booked,2024-08-08,2024-08-08,booked,09-08-2024,118,2024-08-21,81763510695,delivered
6959729,#FF8828,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545473,delivered
6962773,#FF8839,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,81779642906,delivered
6964182,#FF8841,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545440,delivered
6964969,#FF8843,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545451,exception
6965515,#FF8845,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545436,delivered
6965598,#FF8846,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545425,delivered
6968616,#FF8851,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,81779642836,delivered
6969143,#FF8852,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,81779642873,delivered
6969421,#FF8853,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,81779642851,delivered
6969860,#FF8855,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545414,delivered
6969992,#FF8856,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,80591545392,delivered
6970279,#FF8858,8372,2024-08-08,booked,2024-08-08,2024-08-10,booked,10-08-2024,124,2024-09-03,81779642814,delivered
